transactionId,type,amount,errorMsg
40,withdraw,,Exception: Index 2 out of bounds for length 2
43,withdraw,NaNx,NumberFormatException: For input string: "NaNx"
46,withdraw,"12,34",NumberFormatException: For input string: ""12"
61,withdraw,1.2.3,NumberFormatException: multiple points
75,deposit,abc,NumberFormatException: For input string: "abc"
83,withdraw,NaNx,NumberFormatException: For input string: "NaNx"
84,withdraw,abc,NumberFormatException: For input string: "abc"
105,deposit,,Exception: Index 2 out of bounds for length 2
112,deposit,abc,NumberFormatException: For input string: "abc"
124,withdraw,abc,NumberFormatException: For input string: "abc"
125,withdraw,,Exception: Index 2 out of bounds for length 2
135,deposit,"12,34",NumberFormatException: For input string: ""12"
A151,withdraw,3668.26,NumberFormatException: For input string: "A151"
A152,withdraw,9903.07,NumberFormatException: For input string: "A152"
A153,withdraw,6518.3,NumberFormatException: For input string: "A153"
A154,withdraw,3020.47,NumberFormatException: For input string: "A154"
A155,withdraw,5407.14,NumberFormatException: For input string: "A155"
A156,withdraw,4115.5,NumberFormatException: For input string: "A156"
A157,deposit,3450.93,NumberFormatException: For input string: "A157"
A158,withdraw,545.57,NumberFormatException: For input string: "A158"
A159,withdraw,3135.11,NumberFormatException: For input string: "A159"
A160,withdraw,9609.36,NumberFormatException: For input string: "A160"
A161,withdraw,9244.84,NumberFormatException: For input string: "A161"
A162,withdraw,8363.47,NumberFormatException: For input string: "A162"
A163,deposit,"12,34",NumberFormatException: For input string: "A163"
A164,deposit,692.93,NumberFormatException: For input string: "A164"
A165,withdraw,6454.67,NumberFormatException: For input string: "A165"
A166,deposit,882.87,NumberFormatException: For input string: "A166"
A167,withdraw,4177.94,NumberFormatException: For input string: "A167"
A168,withdraw,145.58,NumberFormatException: For input string: "A168"
A169,deposit,572.81,NumberFormatException: For input string: "A169"
A170,withdraw,6582.84,NumberFormatException: For input string: "A170"
A171,deposit,8479.96,NumberFormatException: For input string: "A171"
A172,deposit,9825.25,NumberFormatException: For input string: "A172"
A173,deposit,,NumberFormatException: For input string: "A173"
A174,deposit,9857.09,NumberFormatException: For input string: "A174"
A175,deposit,"12,34",NumberFormatException: For input string: "A175"
A176,deposit,"12,34",NumberFormatException: For input string: "A176"
A177,deposit,1114.84,NumberFormatException: For input string: "A177"
A178,deposit,abc,NumberFormatException: For input string: "A178"
A179,withdraw,8550.18,NumberFormatException: For input string: "A179"
A180,withdraw,222.15,NumberFormatException: For input string: "A180"
A181,withdraw,4940.58,NumberFormatException: For input string: "A181"
A182,deposit,9184.73,NumberFormatException: For input string: "A182"
A183,deposit,5060.51,NumberFormatException: For input string: "A183"
A184,withdraw,8158.35,NumberFormatException: For input string: "A184"
A185,deposit,3450.28,NumberFormatException: For input string: "A185"
A186,withdraw,1466.66,NumberFormatException: For input string: "A186"
A187,deposit,7161.59,NumberFormatException: For input string: "A187"
A188,withdraw,9183.8,NumberFormatException: For input string: "A188"
A189,deposit,7433.46,NumberFormatException: For input string: "A189"
A190,withdraw,4499.91,NumberFormatException: For input string: "A190"
A191,withdraw,7370.33,NumberFormatException: For input string: "A191"
A192,withdraw,7149.68,NumberFormatException: For input string: "A192"
A193,deposit,1.2.3,NumberFormatException: For input string: "A193"
A194,withdraw,2491.32,NumberFormatException: For input string: "A194"
A195,withdraw,7390.32,NumberFormatException: For input string: "A195"
A196,deposit,"12,34",NumberFormatException: For input string: "A196"
A197,withdraw,2798.99,NumberFormatException: For input string: "A197"
A198,deposit,4428.12,NumberFormatException: For input string: "A198"
A199,withdraw,2669.88,NumberFormatException: For input string: "A199"
A200,withdraw,abc,NumberFormatException: For input string: "A200"
