transactionId,type,amount
1,deposit,1523.75
2,withdraw,340.50
3,deposit,8900.00
4,withdraw,125.99
5,deposit,4750.25
6,withdraw,2300.80
7,deposit,670.45
8,withdraw,55.10
9,deposit,12000.00
10,withdraw,987.65
11,deposit,3200.33
12,withdraw,410.70
13,deposit,560.00
14,withdraw,1875.90
15,deposit,7342.15
16,withdraw,230.40
17,deposit,9999.99
18,withdraw,1100.00
19,deposit,4500.50
20,withdraw,785.25
1,withdraw,5880.69
2,withdraw,2311.65
3,deposit,4276.48
4,withdraw,306.84
5,deposit,2928.17
6,deposit,4388.95
7,deposit,5761.99
8,deposit,3294.26
9,withdraw,2469.69
10,withdraw,9500.79
11,deposit,5337.31
12,withdraw,3006.97
13,deposit,2426.81
14,withdraw,9601.8
15,withdraw,8839.32
16,deposit,2958.97
17,deposit,8870.84
18,deposit,6090.73
19,withdraw,3439.56
20,deposit,9303.46
21,deposit,2457.57
22,deposit,5519.56
23,deposit,9955.03
24,withdraw,7094.86
25,withdraw,6398.11
26,withdraw,8672.69
27,deposit,8620.65
28,withdraw,27.41
29,withdraw,5038.37
30,withdraw,5639.16
31,deposit,5980.09
32,deposit,2220.54
33,deposit,391.88
34,withdraw,4133.89
35,deposit,8480.84
36,deposit,9877.35
37,withdraw,1912.28
38,deposit,7888.18
39,deposit,8062.79
41,deposit,9042.49
42,withdraw,500.34
44,withdraw,2024.1
45,withdraw,3004.13
47,withdraw,3818.08
48,withdraw,5102.61
49,withdraw,2883.63
50,deposit,4175.83
51,deposit,4101.9
52,deposit,45.14
53,deposit,2682.59
54,withdraw,9762.53
55,withdraw,32.94
56,deposit,3075.02
57,deposit,7583.58
58,withdraw,1632.1
59,withdraw,8726.56
60,withdraw,6013.31
62,deposit,2756.52
63,deposit,7771.8
64,withdraw,2370.02
65,deposit,3396.34
66,deposit,635.09
67,deposit,5052.42
68,deposit,6286.7
69,withdraw,9029.19
70,deposit,5167.88
71,deposit,5020.5
72,withdraw,3828.55
73,withdraw,4064.42
74,deposit,5453.71
76,withdraw,5703.45
77,deposit,627.66
78,deposit,1485.98
79,deposit,4279.67
80,deposit,2758.36
81,withdraw,3003.73
82,deposit,4556.3
85,deposit,5551.61
86,withdraw,739.46
87,deposit,7920.03
88,deposit,697.58
89,deposit,9207.16
90,withdraw,5669.8
91,deposit,7641.76
92,deposit,1092.21
93,withdraw,6557.6
94,deposit,570.48
95,withdraw,362.09
96,deposit,4739.45
97,deposit,2689.59
98,deposit,6932.82
99,withdraw,6798.12
100,deposit,2929.66
101,withdraw,5888.9
102,withdraw,4026.72
103,deposit,1915.4
104,withdraw,6901.15
106,withdraw,4159.54
107,withdraw,1273.18
108,withdraw,5859.98
109,withdraw,2900.15
110,withdraw,7170.13
111,deposit,8916.64
113,withdraw,5502.4
114,deposit,8096.48
115,deposit,767.81
116,withdraw,5037.68
117,deposit,7330.3
118,deposit,9138.33
119,deposit,938.2
120,deposit,5478.06
121,withdraw,5664.28
122,deposit,485.19
123,withdraw,8081.61
126,withdraw,6336.03
127,deposit,84.89
128,withdraw,3515.15
129,deposit,6008.33
130,withdraw,4889.14
131,withdraw,1688.2
132,deposit,1431.47
133,withdraw,2778.21
134,withdraw,109.73
136,deposit,5038.78
137,deposit,601.28
138,withdraw,7967.15
139,withdraw,4704.07
140,withdraw,477.16
141,withdraw,6865.78
142,deposit,9512.21
143,deposit,1238.77
144,deposit,1992.15
145,deposit,2420.5
146,withdraw,9930.68
147,deposit,3862.73
148,deposit,8595.02
149,deposit,8792.27
150,withdraw,946.01
